business_area_id,user_id,user_tna,question_id,weightage,response,doc_id
5XJc8NmM7JP4byHGNGQ9,7QIYRhbyg4gHEJyEulBh4E3z6u73,a6D1LTKR1wRPTd7MK5TA,BxHSuB2c3ZbxttqYLJHm,5,5,09O2R49DCnHRiX6tIs8M
5XJc8NmM7JP4byHGNGQ9,y11AGYr015TnMgUtxxquMLORm5N2,H6zy9Gu3ygX5vBHCUiEf,ea9dhyQLpZQ2G52ewsxQ,5,5,09RCKDiLSOjBF2pNQRKc
GmrHNRRC2s4lKGXPtLRB,1kKGspdb1UhBMIfa4qZN9emTuYm1,KfSy7zV876UCh6EGi0tq,Iu1lgIS86SbIm8VLGcfU,5,3,09ROcc3C6pHnN60u2lPP
5XJc8NmM7JP4byHGNGQ9,KH0Fj3Ku1WNtCAa5p8QvwgrHulh1,AlAL7qJchFQw7ZWsJL8O,ydIGluJmvzSaAYwKqbS0,5,5,09SiuJsKjksZCZI2Ul2s
GmrHNRRC2s4lKGXPtLRB,JHtupgGkyqbO3mHcis2SSz10NsG2,2vxl7ipdckYgnRotqDmN,iOOEns5x20S13IEk3WEP,5,2,09eBBc6JCmxgVRrjLqfg
fgT0OfrgvOqwyNV5U9O4,zpOKqobInWbBxaAfiYA3f1rlp7N2,qOvv6voJHeNK1xEYR38K,yMISmpJH9rM0Z3U8A2zb,5,1,09lOkc86aH0qYBT7fwPr
fgT0OfrgvOqwyNV5U9O4,0NKz76hPLihSvjp2UOghVLCMoGq2,huELWFDQGhjMDHmPG1Tz,pxFSBrtM7QGMuzzgIKwK,5,3,09megQdKLOPBqP4JETxi
GmrHNRRC2s4lKGXPtLRB,rECaHegyH8StATetWOVoju17rI73,BTsGrYGKVIrb2FTvotUZ,AB0GrCAmkrWXPPybHac5,5,2,09vAXB6HxNxEyYodcJim
GmrHNRRC2s4lKGXPtLRB,6y2jU3oDPneE1ZrEW9sBHTSzcMw1,ulNXTkTQbnBOO7veF8vy,RXt15sJaRHVX6dQEfpjW,5,5,09zIypXYTxCQvRgjYb6z
NiMRMd5crjCRGotyphUJ,dvQGFTrcKqQ9KizUTmb0hOoJWCz1,rDzMJ5H7lhtvhGqJMOTa,duVRoc2x4hsmosnqjOVO,5,4,0A0RHFYNTGMlISLSeUVU
NiMRMd5crjCRGotyphUJ,6umuM3tvcjZ90dO3tLLpT8ZSJLu1,P0Spg5mUXYK8VYCW39Pc,gKCbeSUDw5hUUQz3fGmW,5,3,0A8XcFWoo0VKGNt8lcnO
NiMRMd5crjCRGotyphUJ,DKh1jNE89zdiHhulwBThUsIZiLN2,6cOfXi7NpxiVsZI3N5lr,RoirJdJc2WR0VhJGluCP,5,3,0ACjmQnuP5Jk4USVOUk9
GmrHNRRC2s4lKGXPtLRB,PIypcm7bLQMmhBcSYx4NSv4Olnz1,fohbiebdYegMA2vkV1dY,05o3VmOMLZLUewIviqRI,5,5,0ALY9fJMbD7y0pRlwfxn
5XJc8NmM7JP4byHGNGQ9,tbinlP2NL9gZuEDbe4UVxYHFpNG3,alQ4pZPIhj6qKHYYq2mQ,ovpPGhbNPeDKN2Vr8ybJ,5,4,0AWknathJEiUaUHAtSll
5XJc8NmM7JP4byHGNGQ9,yqn9QTGanOcpss7OpY2iCsc0TJz2,d8FVjiI3BNjxnHAwVTiH,lJy5tO7Bf1IjploRwmhV,5,5,0AYBHUo37C1tELDfbigj
fgT0OfrgvOqwyNV5U9O4,Fof7REFL39O2LeeWIy65jWhP1Qq1,6TD1jHLF5GZm7ygEAhhH,FIxElf8uiY7lWIdhcnRQ,5,2,0Aa7sWTLFokeutnA8r0d
fgT0OfrgvOqwyNV5U9O4,tjpjRJFPIwOka7N8oV9O44xaMRg1,ICwwTi4golmtZ9xWT4tK,8UWOR0jrklc2sAimK7sH,5,2,0AfDWAb1OXt7aGgyFvhI
5XJc8NmM7JP4byHGNGQ9,DkhjL7CMp9gj7SVOLDT7u05XxVg2,kHh04JHz7Heyn1qzMfJK,7DsAg4E3f6SJFNhAkdiI,5,3,0AlBP02go2QyEQUcuFap
NiMRMd5crjCRGotyphUJ,hKLmf0yTM0P7rErW7rUm5svnyXK2,PEH2BbhqPCv3kWkVnxw7,OyrPJHmV5TMIN3nQeeFY,5,5,0BBiLdtafQe4MzGhfqyA
5XJc8NmM7JP4byHGNGQ9,qqO37uLDAocRnSeh27r6HEBYjiB3,hq4qiSbNocL8dpo0w0Lp,EMUU0CLgWLAjsBSmkrTb,5,3,0Ba639L4li8GwPgRJzcH
5XJc8NmM7JP4byHGNGQ9,7pNLNAHRbCUfYlfxaaPWovjN1yh1,2lsmKJcFXd2Wh6ZYbMRh,LQLIVlksxormTmLxeZHf,5,2,0BcLzBEvWwwXGoaTwsKR
NiMRMd5crjCRGotyphUJ,FoZvRRSHRBTFerPUkA3Jq7Aipf62,JlbV5me8g3AfTZFi8ClE,fUO7SNCPDgn97A9M3hYe,5,3,0Bg6jkrT0uO34q9MQOoY
NiMRMd5crjCRGotyphUJ,cJiBmQGfsObNWe8FOug2lkFNBtH3,VdFBXfzGC0ji0nEi0VGa,rKcZdIk1WoDqB5zWWZwl,5,4,0BrWMG6CzFxH4xzOGsPy
DVhvy8x4RkF1e33R0LCW,hIIMP3IDzVh9Xe8BR475I5OZnNJ3,9M60lZlE3ZC8gd09M3PQ,onoRbiDNcsh8RaWjfLhd,5,1,0BtmpEAJeko5XxDTdSck
DVhvy8x4RkF1e33R0LCW,9b5ODDdX8MgeYZETD1qJryADGqD2,9y7exeSlms4wXkBfHWnG,IEafiQxZ4JUY3aDbxfQp,5,5,0BxPOFhr18F5wdHz0dCL
5XJc8NmM7JP4byHGNGQ9,6y2jU3oDPneE1ZrEW9sBHTSzcMw1,fy8z11wmOt1VVOG6ExBz,lJy5tO7Bf1IjploRwmhV,5,3,0CCX4g6GP7VXq6Q8J8jC
NiMRMd5crjCRGotyphUJ,0yd7oeaulfg5QnB1pOGXcKI85yH2,BA1SQDlLRMUhGiCdJtzF,SDxbrh8wV2hkAcVczBxw,5,2,0CELpbOk0RoxPDJEpf7w
fgT0OfrgvOqwyNV5U9O4,a72nFLETuOcGDu54H9Q0phztWBu2,sxSHXi0L23ZU9LIrIatK,WWVT46P7dfP9od7jn1Ew,5,4,0CJ0jwMJkoC8S68njNVT
GmrHNRRC2s4lKGXPtLRB,hPLGanwFkkMfKrPyo9EjCu5WfzW2,eyz0Y1tUQNiPHgAXovlY,GJ1vwiNT2PXdpPT1lP8p,5,1,0CSJQx3yixmwODQrigYG
5XJc8NmM7JP4byHGNGQ9,veQHYDAMZJSIwqhAY9FjVS3Sd262,9S2lLzUvXMmASsGFYBH7,iENN2qiTC7HBAs0sgPeF,5,1,0CTIiSa2DiaS54ptDp56
DVhvy8x4RkF1e33R0LCW,tNts4ruCZlWDTBaPQjbXsa12gt12,r7C21shb1aWyOlGFaIj1,86tRmahDIhZlKjhMFfrE,5,3,0CTRcSaDNGhViiYAkAch
NiMRMd5crjCRGotyphUJ,gC1uMpWo1vT7N4AOxI8V30uOspz2,BCUzCDWIg0ignVASB2Jg,hwZhys8ownCyAoURO2Ns,5,2,0CvBlqcKvXGrBpTqsGiT
5XJc8NmM7JP4byHGNGQ9,ND1EaBlJRqeoq9HzIfFYEqenxlv1,VViYrtFoJTkXR72FyxdK,0qqs3JOxIiR0iZrIv9qK,5,4,0DCEPXPRuzuaHrEtzxkp
fgT0OfrgvOqwyNV5U9O4,TwIg0T2RiJM3Edx7caLAr8S5Dl43,N8PSBtorEOZVK3YIr3XM,RXpLEZilEq3f7pn7E7Zl,5,5,0DM2vuWgBqzB3Hp2EtZS
NiMRMd5crjCRGotyphUJ,o0g5e5ZJFLbKg1UNtnmqlqxJxem1,STUvx1r3pnUQEQsMbc9A,OyrPJHmV5TMIN3nQeeFY,5,3,0DRts1HD4xxvHuf41uYB
GmrHNRRC2s4lKGXPtLRB,mvBu4qodpJheQVs1aN8FJmaC1bl2,CwEZWz9eZliBE7FwBP7Q,nmkQo2LftWZwTnrTO28C,5,4,0DSb6TWEcCVt9kZPG7AY
GmrHNRRC2s4lKGXPtLRB,FPlqieyfKyW6gj2oxZWeLyJFFZ53,Wwki7rqyFTOVGUcIsWQ5,BdvKwt21noxfrwB3pQbn,5,3,0DTIbiEu1LyX0wzFKEdL
fgT0OfrgvOqwyNV5U9O4,8e2RH5QNYFdD2zqsw8xLJhg2sjo2,TqbEJS24k8hKo09mA6AB,O8zellt0sTgDcsvmKlvX,5,5,0DjZ5ii5K1IMs4yFk0Mb
GmrHNRRC2s4lKGXPtLRB,hMMEe2DCbIOV4bfmr6WoVd20kSD2,8CZOQZmJ8RFPc8nTXFzJ,knWU6IpJAOsW7aYIgNsB,5,3,0E2Uvw0B0yAFE3ypqTlH
5XJc8NmM7JP4byHGNGQ9,U8ID477fAVVXZCS28FdOPdResep2,a4s0yZhUPTnaQ6QLnVFh,mYz0Mqyteqs1BmsKugKB,5,2,0E5b2NqmiEQS5EeTaAG6
NiMRMd5crjCRGotyphUJ,hZMHP6U8b1QgBmwnyMfEG0mC7U72,Z98mal5ko0RZxbGZuBBH,rUIuMZ10Vv7a5gERiaYt,5,2,0E6NujbpRPXXmS5ZHHrM
NiMRMd5crjCRGotyphUJ,Sohr936VE9hyFjOpzbxkUY0XNng1,MLJOal7RLyfangGCUIyx,fgRM42CpjKMzl1GgWsA3,5,2,0E6agqoWuMf525M5tfJA
GmrHNRRC2s4lKGXPtLRB,mLfyyyW0rne7WG9ZZgC3TSif9Xi1,AcZB3YX1jVkYO4RB5cQE,ToIW9ncPQtGXSi0xyKfs,5,4,0E8rpcEkWSTMhNGL12J3
GmrHNRRC2s4lKGXPtLRB,72Vlg6GSYRVLBAywbW2l4zo1m5G2,PrdmsIsUS34EcgNnJDHS,WtWUHfjNOA0kpSyYyCSt,5,3,0EA7eTG9wssN8nP5Qr7j
GmrHNRRC2s4lKGXPtLRB,5CAKxG0iaMQx0W60yfjK8Tlr0as1,m0mpBrV8rqVilWcQossM,3io7x5kETSR6847TNSx0,5,2,0EC7eFxVINMfeKCtzwV4
5XJc8NmM7JP4byHGNGQ9,pykG7ZLnFTSPgJ2ojEbMOUcKwej2,HhKAz4gUoLJLaswyWwXC,6901T0SL23FxB8ybMLrQ,5,5,0EJrNyPNlWq6LDJus1Wb
DVhvy8x4RkF1e33R0LCW,iAnXPXx97LSLvgbHRjFR1K9BKTR2,QnciF4Q2doMk9VqiHWe3,Q1yPH0O5OyLuI2jYZs1p,5,2,0EJzlMsWd4gyglf9qqmy
5XJc8NmM7JP4byHGNGQ9,ECGnnjUwsNe0PnZv28n5cFAL49c2,zySxOIESSIfeHNPAjaA4,6901T0SL23FxB8ybMLrQ,5,1,0EKMdUdNPGLgjNr0KJJq
GmrHNRRC2s4lKGXPtLRB,mKZL1LsUnlSSKnW9LZApt1Uu6nZ2,djEKb0fWKlX4EHhRFqZT,MvLAJuo9x2rJZiYZ33F8,5,4,0EPgXp1QvT0wWnDBRGZX
DVhvy8x4RkF1e33R0LCW,9gULcxfIZYRfZS7srPDkqJd9dgj1,R1kat1I55eoQ07qgj4g8,h2HDmviDM26TaNfxi18V,5,5,0EUV3PJj7qgBvdVrqETt
